Course ID,Dept Cd,Major Disproportionate Impact,URM Disproportionate Impact,First Gen Disproportionate Impact, Gender Disproportionate Impact,Transfer Disproportionate Impact,N,N Qtrs w/Enrollment,Count of DFW Grades,% DFW,Avg. End Waitlist Count/Qtr,Avg. N Students Affected/Offering,N Courses Blocked ,Max. Complexity,Impact Index 
BENG110,CENG,,,,,,32,2,5,16%,0,3,,,1
BENG112A,BENG,,,,,,159,3,17,11%,0,6,7.0,17.0,32
BENG112B,BENG,,,,,,144,3,2,1%,0,1,1.0,9.0,2
BENG119A,BENG,,,,,,58,3,0,0%,0,0,,,0
BENG119B,BENG,,,,,,57,3,0,0%,0,0,,,0
BENG120,BENG,,,,,,161,3,4,2%,0,1,9.0,18.0,8
BENG122A,BENG,,,,,,190,3,1,1%,0,0,1.0,8.0,1
BENG123,BENG,,,,,,209,3,13,6%,0,4,4.0,11.0,16
BENG125,BENG,,,,,,456,3,2,0%,0,1,0.0,7.0,2
BENG126A,BENG,,,,,,97,4,0,0%,0,0,,,0
BENG126B,BENG,,,,,,97,3,0,0%,0,0,,,0
BENG127A,BENG,,,,,,23,3,0,0%,0,0,,,0
BENG127B,BENG,,,,,,24,3,0,0%,0,0,,,0
BENG128A,BENG,,,,,,22,3,0,0%,0,0,,,0
BENG128B,BENG,,,,,,22,2,0,0%,0,0,,,0
BENG129A,BENG,,,,,,26,3,0,0%,0,0,,,0
BENG129B,BENG,,,,,,26,3,0,0%,0,0,,,0
BENG130,BENG,,,,,,429,3,21,5%,0,7,0.0,5.0,12
BENG133,BENG,,,,,,87,3,4,5%,0,1,2.0,9.0,4
BENG134,BENG,,,,,,75,3,4,5%,0,1,3.0,10.0,4
BENG135,BENG,,,,,,60,3,1,2%,0,0,1.0,8.0,1
BENG139A,BENG,,,,,,23,2,0,0%,0,0,,,0
BENG139B,BENG,,,,,,23,2,0,0%,0,0,,,0
BENG140A,BENG,,,,,,231,3,7,3%,0,2,2.0,9.0,7
BENG140B,BENG,,,,,,196,3,8,4%,0,3,1.0,8.0,7
BENG141,BENG,,,,,,116,3,1,1%,0,0,0.0,5.0,1
BENG148A,BENG,,,,,,20,4,0,0%,0,0,,,0
BENG148B,BENG,,,,,,20,3,1,5%,0,0,,,0
BENG152,BENG,,,,,,58,3,0,0%,0,0,4.0,13.0,0
BENG160,BENG,,,,,,187,3,3,2%,0,1,3.0,11.0,4
BENG161A,BENG,,,,,,195,3,9,5%,0,3,1.0,9.0,9
BENG161B,BENG,,,,,,193,3,4,2%,0,1,0.0,8.0,4
BENG162,BENG,,,,,,192,3,3,2%,0,1,0.0,7.0,2
BENG166A,BENG,,,,,,205,3,5,2%,0,2,0.0,7.0,4
BENG168,BENG,,,,,,299,4,1,0%,0,0,4.0,13.0,1
BENG169A,BENG,,,,,,54,3,0,0%,0,0,,,0
BENG169B,BENG,,,,,,53,3,0,0%,0,0,,,0
BENG172,BENG,,,,,,147,3,5,3%,0,2,0.0,7.0,4
BENG179A,BENG,,,,,,94,3,0,0%,0,0,,,0
BENG179B,BENG,,,,,,94,3,1,1%,0,0,,,0
BENG181,BENG,,,,,,60,3,1,2%,0,0,0.0,5.0,1
BENG182,BENG,,,,,,64,3,0,0%,0,0,0.0,4.0,0
BENG183,BENG,,,,,,68,3,1,1%,0,0,0.0,5.0,1
BENG183,BIOL,,,,,,176,3,1,1%,0,0,0.0,6.0,1
BENG183,CSE,,,,,,21,3,0,0%,0,0,0.0,6.0,0
BENG186A,BENG,,,,,,319,3,9,3%,0,3,0.0,8.0,8
BENG186B,BENG,,,,,,198,3,8,4%,0,3,0.0,7.0,6
BENG187A,BENG,,,,,,300,2,1,0%,0,1,3.0,13.0,3
BENG187B,BENG,,,,,,442,3,0,0%,0,0,2.0,12.0,0
BENG187C,BENG,,,,,,442,3,1,0%,0,0,1.0,11.0,1
BENG187D,BENG,,,,,,441,3,0,0%,0,0,0.0,10.0,0
BENG189,BENG,,,,,,59,3,0,0%,0,0,0.0,7.0,0
BENG193,BENG,,,,,,38,3,0,0%,0,0,,,0
BENG195,BENG,,,,,,39,3,0,0%,1,1,,,0
BENG196,BENG,,,,,,86,9,0,0%,1,1,,,0
BENG199,BENG,,,,,,231,9,1,0%,0,0,,,0
BENG2,BENG,,,,,,58,3,2,3%,0,1,0.0,1.0,0
BENG226,BENG,,,,,,21,4,2,10%,0,1,,,0
BENG87,BENG,,,,,,29,6,0,0%,3,3,,,1
BENG87,BIOL,,,,,,32,6,0,0%,3,3,,,1
BGRD200,BIOL,,,,,,1811,9,4,0%,0,0,,,0
BGRD200,CHEM,,,,,,22,9,0,0%,0,0,,,0
BGRD200,ESYS,,,,,,20,5,0,0%,0,0,,,0
BIBC100,BENG,,,,,,20,7,0,0%,7,7,,,1
BIBC100,BIOL,,,,,,1871,9,50,3%,7,13,1.0,7.0,10
BIBC100,COGS,,,,,,36,8,2,6%,7,7,,,1
BIBC100,GLBH,,,,,,32,9,1,3%,7,7,,,1
BIBC100,PSYC,,,,,,72,9,0,0%,7,7,,,1
BIBC100,SPH,,,,,,61,9,4,7%,7,7,,,1
BIBC102,BENG,,Y,Y,,,22,9,1,5%,6,6,,,1
BIBC102,BIOL,,Y,Y,,Y,3237,9,192,6%,6,27,1.0,7.0,22
BIBC102,CHEM,Y,Y,Y,,,23,9,6,26%,6,7,,,1
BIBC102,COGS,,Y,Y,,,34,9,2,6%,6,6,,,1
BIBC102,CSE,,Y,Y,,,25,8,1,4%,6,6,0.0,5.0,5
BIBC102,GLBH,,Y,Y,,,75,9,4,5%,6,6,,,1
BIBC102,PSYC,,Y,Y,,,62,8,3,5%,6,6,,,1
BIBC102,SPH,,Y,Y,,,86,9,4,5%,6,6,,,1
BIBC103,BIOL,,Y,,,,1297,9,76,6%,2,10,1.0,4.0,5
BIBC103,GLBH,,Y,,,,20,9,3,15%,2,2,,,1
BIBC103,SIO,,Y,,,,118,9,11,9%,2,3,,,1
BIBC103,SPH,,Y,,,,26,8,3,12%,2,2,,,1
BIBC120,BIOL,,,,,,522,2,22,4%,0,11,,,6
BIBC151,BIOL,,,,,,33,1,1,3%,1,2,,,2
BIBC194,BIOL,,,,,,269,6,2,1%,4,4,,,1
BICD100,ANTH,,Y,Y,,,29,9,2,7%,11,11,,,6
BICD100,BENG,,Y,Y,,,230,9,7,3%,11,12,4.0,9.0,17
BICD100,BIOL,,Y,Y,,,4696,9,303,6%,11,45,0.0,2.0,15
BICD100,CHEM,,Y,Y,,,362,9,24,7%,11,14,,,7
BICD100,COGS,,Y,Y,,Y,95,9,11,12%,11,12,,,7
BICD100,CSE,,Y,Y,,,26,8,0,0%,11,11,0.0,2.0,8
BICD100,DSC,,Y,Y,,,33,9,1,3%,11,11,,,6
BICD100,ESYS,,Y,Y,,,170,9,14,8%,11,13,0.0,2.0,8
BICD100,GLBH,,Y,Y,,,157,9,23,15%,11,14,,,7
BICD100,HDS,,Y,Y,,,64,9,8,13%,11,12,,,7
BICD100,PSYC,,Y,Y,,,179,9,16,9%,11,13,,,7
BICD100,SIO,,Y,Y,,,343,9,38,11%,11,15,0.0,2.0,9
BICD100,SPH,,Y,Y,,,256,9,22,9%,11,13,,,7
BICD100,UNAF,,Y,Y,,,39,9,1,3%,11,11,,,6
BICD100R,BIOL,,,,,,52,1,1,2%,5,6,,,6
BICD104,BIOL,,,,,,53,1,3,6%,0,3,,,3
BICD110,BIOL,,,,,,2838,9,167,6%,10,29,0.0,6.0,19
BICD110,CHEM,,,,,,88,9,8,9%,10,11,,,1
BICD110,GLBH,,,,,,22,9,1,5%,10,10,,,1
BICD110,SPH,,,,,,56,9,1,2%,10,10,,,1
BICD112,BIOL,,,,,,110,2,1,1%,1,2,,,1
BICD120,BIOL,,,,,,43,1,0,0%,0,0,,,0
BICD123,BIOL,,,,,,65,2,3,5%,2,4,,,2
BICD130,BIOL,,,,,,291,2,15,5%,0,8,,,4
BICD136,BIOL,,,,,,370,3,60,16%,0,20,,,7
BICD136,GLBH,,,,,,26,3,3,12%,0,1,,,0
BICD140,BIOL,,Y,,,,791,5,119,15%,0,24,,,5
BICD140,CHEM,,Y,,,,27,5,5,19%,0,1,,,1
BICD145,BIOL,,,,,,37,1,2,5%,1,3,,,3
BICD156,BIOL,,Y,,,,108,2,18,17%,0,9,,,6
BICD158,BIOL,,,,,,212,2,9,4%,0,5,,,2
BICD194,BIOL,,,,,,124,4,1,1%,2,2,,,1
BIEB102,BIOL,,,,,,653,4,15,2%,1,5,0.0,2.0,2
BIEB102,ESYS,,,,,,66,4,2,3%,1,2,,,0
BIEB102,SIO,,,,,,82,4,1,1%,1,1,,,0
BIEB121,BIOL,,,,,,263,8,3,1%,3,3,,,0
BIEB121,ESYS,,,,,,43,7,0,0%,3,3,,,0
BIEB121,SIO,,,,,,34,7,1,3%,3,3,,,0
BIEB123,BIOL,,,,,,86,3,0,0%,0,0,,,0
BIEB126,BIOL,,,,,,225,2,19,8%,3,13,,,6
BIEB126,ESYS,,,,,,41,2,1,2%,3,4,,,2
BIEB128,BIOL,,,,,,131,2,5,4%,6,9,,,4
BIEB128,ESYS,,,,,,20,2,0,0%,6,6,,,3
BIEB130,BIOL,,,,,,651,3,4,1%,14,15,,,5
BIEB130,ESYS,,,,,,68,3,4,6%,14,15,,,5
BIEB130,SIO,,,,,,28,3,0,0%,14,14,,,5
BIEB134,BIOL,,,,,,170,3,14,8%,0,5,,,2
BIEB135,BIOL,,,,,,32,1,2,6%,1,3,,,3
BIEB140,BIOL,,,,,,319,3,16,5%,6,11,,,4
BIEB140,ESYS,,,,,,42,3,2,5%,6,7,,,2
BIEB143,BIOL,,,,,,23,1,4,17%,0,4,,,4
BIEB146,BIOL,,,,,,2025,6,40,2%,9,16,,,3
BIEB148,BIOL,,,,,,94,1,6,6%,0,6,,,6
