Subject,Course,Year,Quarter,Title,Instructor,GPA,A,B,C,D,F,W,P,NP
BENG,110,16,FA,Foundation of Biomechanics,"Mc Culloch, Andrew Douglas",3.682,71.1%,25.9%,1.92%,0%,0%,0%,0.96%,0%
BENG,119A,16,FA,Design Develop.in Biomechanics,"Wheeler, Bruce Christopher",3.725,68.7%,31.2%,0%,0%,0%,0%,0%,0%
BENG,122A,16,FA,Biosystems and Control,"Metallo, Christian Michael",3.42,54.3%,40.7%,4.93%,0%,0%,0%,0%,0%
BENG,126A,16,FA,Design Dev Bioinformatics BENG,"Wheeler, Bruce Christopher",3.538,53.8%,46.1%,0%,0%,0%,0%,0%,0%
BENG,127A,16,FA,Design Dev.Molec. Systems BENG,"Wang, Yingxiao",3.724,70.5%,29.4%,0%,0%,0%,0%,0%,0%
BENG,128A,16,FA,Design Dev.Genetc Circuit BENG,"Wheeler, Bruce Christopher",3.769,76.9%,23.0%,0%,0%,0%,0%,0%,0%
BENG,134,16,FA,Measurements/Stats/Probability,"Coleman, Todd Prentice",3.783,83.8%,9.67%,3.22%,0%,0%,3.22%,0%,0%
BENG,135,16,FA,Biomedical Signals &amp; Systems,"Wheeler, Bruce Christopher",3.373,46.6%,50%,3.33%,0%,0%,0%,0%,0%
BENG,141,16,FA,Biomedical Optics and Imaging,"Lal, Ratnesh",3.341,55.8%,20.5%,17.6%,0%,0%,0%,5.88%,0%
BENG,147A,16,FA,Design Develpmnt in Neural Eng,"Wheeler, Bruce Christopher",3.8,84.6%,15.3%,0%,0%,0%,0%,0%,0%
BENG,148A,16,FA,Design Developmnt Cardiac BENG,"Wheeler, Bruce Christopher",3.479,71.4%,7.14%,21.4%,0%,0%,0%,0%,0%
BENG,149A,16,FA,Design Develpmnt Vascular BENG,"Engler, Adam J.",3.917,91.6%,8.33%,0%,0%,0%,0%,0%,0%
BENG,161A,16,FA,Bioreactor Engineering,"Fraley, Stephanie I.",3.123,35.0%,45.6%,15.7%,3.50%,0%,0%,0%,0%
BENG,162,16,FA,Biotechnology Laboratory,"Mali, Prashant Gulab Ram",3.663,75.5%,24.4%,0%,0%,0%,0%,0%,0%
BENG,166A,16,FA,Cell and Tissue Engineering,"Varghese, Shyni",3.317,34.6%,65.3%,0%,0%,0%,0%,0%,0%
BENG,169A,16,FA,Design Developmnt Tissue Engin,"Gough, David A.",3.893,87.5%,6.25%,0%,0%,0%,6.25%,0%,0%
BENG,179A,16,FA,Design Develop.Bioinstrumntatn,"Cabrales, Pedro",3.764,81.8%,18.1%,0%,0%,0%,0%,0%,0%
BENG,183,16,FA,Applied Genomic Technologies,"Zhong, Sheng",3.499,48.5%,47.0%,2.94%,0%,0%,1.47%,0%,0%
BENG,187B,16,FA,BENG Design Project:Developmnt,"Wheeler, Bruce Christopher",3.848,88%,8%,2.4%,0%,0%,0%,0%,0%
BENG,193,16,FA,Clinical Bioengineering,"Engler, Adam J.",4,100%,0%,0%,0%,0%,0%,0%,0%
BIBC,100,16,FA,Structural Biochemistry,"Montal, S. Maurice",2.681,27.5%,29.3%,18.4%,10.8%,5.57%,7.91%,0.29%,0%
BIBC,102,16,FA,Metabolic Biochemistry,"Hampton, Randolph Y.",3.247,46.2%,33.2%,13.6%,2.20%,1.46%,2.44%,0.73%,0%
BIBC,102,16,FA,Metabolic Biochemistry,"Herndon, Jenny Dyann",2.776,28.1%,27.8%,26.0%,8.48%,1.51%,7.87%,0%,0%
BIBC,103,16,FA,Biochemical Techniques,"Coleman, Aaron B.",3.188,35.6%,44.7%,14.6%,1.39%,0%,2.79%,0.69%,0%
BIBC,103,16,FA,Biochemical Techniques,"Soowal, Lara",3.137,38.7%,37.8%,16.2%,0%,2.70%,4.50%,0%,0%
BIBC,194,16,FA,Adv Topics-Biochemistry,"Montal, S. Maurice",3.902,97.5%,0%,0%,0%,2.43%,0%,0%,0%
BICD,100,16,FA,Genetics,"Reuther, Keefe",3.009,31.3%,43.7%,19.7%,3.32%,0.71%,1.18%,0%,0%
BICD,100,16,FA,Genetics,"McDonnell, Lisa Marie",3.006,29.4%,45.8%,14.9%,3.63%,1.45%,4.72%,0%,0%
BICD,110,16,FA,Cell Biology,"Kiger, Amy",3.156,44.2%,32.6%,16.0%,2.56%,1.92%,2.56%,0%,0%
BICD,136,16,FA,AIDS Science and Society,"Gustafson-Brown, Cindy",2.736,28.5%,34.4%,21.8%,6.72%,5.46%,2.94%,0%,0%
BIEB,100,16,FA,Biostatistics,"Rifkin, Scott",2.863,31.5%,32.7%,25.5%,3.57%,2.38%,3.57%,0%,0.59%
BIEB,102,16,FA,Intro Eclgy/Organisms&amp;Habitats,"Shurin, Jonathan",2.652,17.8%,36.4%,37.2%,1.55%,3.10%,3.87%,0%,0%
BIEB,121,16,FA,Ecology Laboratory,"Henter, Heather J.",2.918,20.5%,55.8%,14.7%,2.94%,2.94%,2.94%,0%,0%
BIEB,126,16,FA,Plant Ecology,"Kohn, Joshua R",2.86,26.3%,37.7%,22.8%,3.50%,2.63%,5.26%,1.75%,0%
BILD,1,16,FA,The Cell,"Burg, Michael",3.242,47.1%,24.0%,15.1%,4.18%,2.09%,4.71%,2.61%,0%
BILD,1,16,FA,The Cell,"Mel, Stephanie",2.899,29.6%,38.0%,21.8%,4.94%,2.03%,1.45%,1.16%,0.58%
BILD,2,16,FA,Multicellular Life,"Fortes, P. A. George",2.776,23.6%,29.1%,33.0%,4.72%,0%,7.87%,0.78%,0.78%
BILD,2,16,FA,Multicellular Life,"Wasserman, Steven A.",2.646,26.1%,29.7%,30.2%,6.66%,4.61%,2.05%,0.51%,0%
BILD,3,16,FA,Organismic&amp;Evolutionary Biol,"Reuther, Keefe",3.071,33.3%,38.8%,17.0%,2.39%,1.19%,0.71%,5.27%,1.19%
BILD,3,16,FA,Organismic&amp;Evolutionary Biol,"Stockwell, Sarah R",2.914,31.0%,32.4%,20.1%,4.99%,2.80%,2.34%,5.14%,1.09%
BILD,4,16,FA,Introductory Biology Lab,"Lo, Stanley Malvin Ming-Hi",3.717,75.8%,22.5%,0%,0%,0%,1.34%,0.26%,0%
BILD,4,16,FA,Introductory Biology Lab,"Mel, Stephanie",3.735,78.7%,19.1%,0%,0%,0%,2.12%,0%,0%
BILD,10,16,FA,Fundamental Concepts/Modrn Bio,"Burg, Michael",3.611,52.9%,26.1%,2.64%,0.58%,0.58%,1.17%,15.5%,0.29%
BILD,26,16,FA,Human Physiology,"Fortes, P. A. George",2.62,17.8%,25.8%,24.1%,6.25%,2.67%,2.67%,16.9%,3.57%
BIMM,100,16,FA,Molecular Biology,"Lykke-Andersen, Jens",2.766,29.7%,32.3%,21.4%,7.44%,5.15%,3.72%,0%,0%
BIMM,100,16,FA,Molecular Biology,"Pasquinelli, Amy",2.458,20.1%,33.4%,22.1%,7.25%,11.2%,5.64%,0%,0%
BIMM,101,16,FA,Recombinant DNA Techniques,"Bozinovic, Goran",3.34,42.8%,44.8%,10.2%,0%,0%,2.04%,0%,0%
BIMM,101,16,FA,Recombinant DNA Techniques,"Herndon, Jenny Dyann",3.614,68.1%,27.2%,2.27%,2.27%,0%,0%,0%,0%
BIMM,101,16,FA,Recombinant DNA Techniques,"Day, Christopher D",3.464,55.6%,37.5%,4.54%,0%,0%,1.13%,1.13%,0%
BIMM,101,16,FA,Recombinant DNA Techniques,"Grossman, Emily N",3.604,64.3%,24.7%,6.93%,0%,0%,3.96%,0%,0%
BIMM,101,16,FA,Recombinant DNA Techniques,"McDonnell, Lisa Marie",3.415,44.8%,46.9%,6.12%,0%,0%,2.04%,0%,0%
BIMM,110,16,FA,Molecular Basis/Human Disease,"Tour, Ella",3.267,39.5%,49.4%,9.94%,0%,0.27%,0.82%,0%,0%
BIMM,116,16,FA,Circadian Rhythms-Bio Clocks,"Golden, Susan S.",3.081,38.4%,33.1%,15.7%,3.68%,1.57%,5.26%,2.10%,0%
BIMM,121,16,FA,Laboratory in Microbiology,"Chilukuri, Lakshmi N",3.2,38.3%,36.9%,16.4%,2.73%,0%,5.47%,0%,0%
BIMM,121,16,FA,Laboratory in Microbiology,"Pirino, Giorgia",3.517,56.7%,35.8%,2.46%,0%,0%,3.70%,1.23%,0%
BIMM,124,16,FA,Medical Microbiology,"Gustafson-Brown, Cindy",2.99,33.7%,36.4%,21.0%,4.38%,0.43%,2.19%,1.75%,0%
BIMM,140,16,FA,Quantitative Principles in Bio,"Suel, Gurol Mehmet",3.242,55.1%,26.9%,11.5%,2.56%,2.56%,0%,1.28%,0%
BIMM,171A,16,FA,Genomics Research Init Lab I,"Pogliano, Joseph",4,100%,0%,0%,0%,0%,0%,0%,0%
BIMM,171,16,FA,Genomics Research Initiative,"Pogliano, Joseph",4,100%,0%,0%,0%,0%,0%,0%,0%
BIMM,194,16,FA,Adv Topics-Molecular Bio,"Mayfield, Stephen P.",3.316,33.3%,51.8%,7.40%,0%,0%,3.70%,3.70%,0%
BIPN,100,16,FA,Human Physiology I,"Bloodgood, Brenda Laurie",2.942,37.4%,29.4%,20.1%,7.73%,2.16%,2.47%,0.30%,0.30%
BIPN,100,16,FA,Human Physiology I,"Cooke, James Edward",2.833,28.5%,37.3%,19.0%,6.34%,3.17%,3.96%,1.58%,0%
BIPN,100,16,FA,Human Physiology I,"Reyes Gonzalez, Catalina",2.729,19.7%,36.4%,35.4%,2.08%,1.04%,4.16%,1.04%,0%
BIPN,105,16,FA,Animal Physiology Lab,"Armour, Jon Christopher",3.068,25.1%,51.9%,18.8%,0%,0%,3.93%,0%,0%
BIPN,140,16,FA,Cellular Neurobiology,"Spitzer, Nicholas",2.628,23.4%,29.0%,26.5%,10.2%,3.06%,4.59%,2.04%,1.02%
BIPN,148,16,FA,Cellular Basis Learning&amp;Memory,"Leutgeb, Jill K.",3.49,62.3%,20.6%,10.1%,1.35%,0.67%,3.05%,1.35%,0.33%
BISP,194,16,FA,Adv Topics in Modern Biology,"Yelon, Deborah",3.971,96.8%,0%,0%,0%,0%,0%,3.12%,0%
CAT,1,16,FA,"Culture, Art &amp; Technology I","Algaze, Guillermo",3.168,32.2%,60.2%,3.76%,0.53%,2.15%,1.07%,0%,0%
CAT,1,16,FA,"Culture, Art &amp; Technology I","Pantoja, Jennifer Metten",3.566,69.3%,28.4%,0.72%,0.72%,0.72%,0%,0%,0%
CAT,1,16,FA,"Culture, Art &amp; Technology I","Westman, Robert S",3.347,48.2%,43.5%,5.55%,0.85%,0.85%,0.85%,0%,0%
CAT,1,16,FA,"Culture, Art &amp; Technology I","Myerston Santana, Jacobo",3.477,58.7%,38.0%,1.58%,0.52%,0%,1.05%,0%,0%
CAT,1,16,FA,"Culture, Art &amp; Technology I","Solomon, Amanda Lee Albaniel",3.155,27.5%,63.6%,6.13%,0.76%,0.76%,1.14%,0%,0%
CAT,125,16,FA,Public Rhetoric &amp; Pract Commun,"Bigham, David Joseph",3.373,41.9%,40.5%,1.39%,0%,0.69%,2.79%,12.5%,0%
CAT,125,16,FA,Public Rhetoric &amp; Pract Commun,"Nericcio, William Anthony",3.503,47.7%,32.3%,1.47%,0%,0%,2.20%,16.1%,0%
CAT,125R,16,FA,Pblc Rhetoric Prct Comm Online,"Sartor, Alexandra",3.593,64.3%,19.1%,2.12%,0%,1.59%,3.19%,9.57%,0%
CGS,2A,16,FA,Intro/CGS: Social Movements,"Eileraas, Karina Astrid",3.668,65.9%,5.49%,2.19%,0%,1.09%,0%,25.2%,0%
CGS,100,16,FA,Conceptlzg Gender:Theory&amp;Methd,"Eileraas, Karina Astrid",3.631,67.5%,15%,2.5%,0%,2.5%,0%,12.5%,0%
CGS,102,16,FA,Topics in Critical Gender Stds,"Johnson, Sara E.",3.85,83.3%,0%,0%,0%,0%,8.33%,0%,0%
CGS,180,16,FA,Labor&#39;s Relations,"Hankins, Joseph D.",3.57,58.3%,16.6%,8.33%,0%,0%,0%,8.33%,8.33%
CHEM,4,16,FA,Basic Chemistry,"Hoeger, Carl",2.746,18.8%,36.8%,33.0%,1.25%,1.67%,5.43%,2.92%,0%
CHEM,6A,16,FA,General Chemistry I,"Brydges, Stacey",3.104,34.6%,41.7%,15.8%,2.38%,0.89%,2.38%,1.79%,0.29%
CHEM,6A,16,FA,General Chemistry I,"Crowell, John E",2.721,22.5%,33.5%,31.4%,1.52%,3.96%,5.18%,1.21%,0.60%
CHEM,6A,16,FA,General Chemistry I,"Johnson, Christina A",3.134,34.0%,40.7%,18.3%,0.69%,0.34%,3.23%,2.30%,0.23%
CHEM,6A,16,FA,General Chemistry I,"Lam, Tin Yiu",2.882,27.0%,44.3%,13.7%,6.63%,3.06%,4.59%,0%,0.51%
CHEM,6AH,16,FA,Honors General Chemistry I,"Tauber, Michael",3.341,45.8%,39.6%,4.58%,1.52%,1.52%,5.34%,1.52%,0%
CHEM,6C,16,FA,General Chemistry  III,"Bussey, Thomas J",2.81,23.8%,46.8%,19.6%,4.40%,4.14%,1.03%,0%,0%
CHEM,6A,16,FA,General Chemistry I,"Albizati, Kim F.",3.015,26.0%,48.8%,14.1%,3.19%,1.82%,4.10%,1.82%,0%
CHEM,6A,16,FA,General Chemistry I,"Berniolles, Sandrine",3.03,26.1%,48.4%,18.2%,1.14%,0.16%,4.59%,1.14%,0.16%
CHEM,6A,16,FA,General Chemistry I,"Moore, Amy Lea",3.077,41.9%,38.9%,10.2%,3.32%,2.41%,1.51%,1.51%,0%
CHEM,6B,16,FA,General Chemistry II,"Bussey, Thomas J",2.695,20.7%,41.0%,16.1%,7.83%,5.52%,7.37%,1.38%,0%
CHEM,7L,16,FA,General Chemistry Laboratory,"Kim, Judy E.",2.916,23.5%,49.2%,18.7%,3.14%,1.57%,3.71%,0%,0%
CHEM,11,16,FA,The Periodic Table,"Mrse, Anthony Adrian",3.166,26.6%,27.1%,7.76%,2.42%,0.48%,11.1%,22.3%,1.94%
CHEM,100A,16,FA,Analytical Chemistry Lab,"Shaheen, Robina",3.184,36.3%,41.4%,16.1%,2.02%,0%,4.04%,0%,0%
CHEM,100B,16,FA,Instrumental Chemistry Lab,"Pomeroy, Robert S.",3.046,14.2%,64.2%,14.2%,0%,0%,7.14%,0%,0%
CHEM,105A,16,FA,Physical Chemistry Laboratory,"Crowell, John E",3,31.0%,37.9%,20.6%,0%,3.44%,6.89%,0%,0%
CHEM,108,16,FA,Protein Biochemistry Lab,"Ghosh, Gourisankar",3.479,55.4%,43.2%,0%,0%,0%,1.35%,0%,0%
CHEM,114D,16,FA,Molecular &amp; Cellular Biochem,"Ghosh, Gourisankar",3.489,55.5%,33.3%,11.1%,0%,0%,0%,0%,0%
CHEM,114A,16,FA,Biochemical Structure&amp;Function,"Toor, Navtej",2.903,27.5%,42.6%,18.9%,5.17%,2.15%,3.01%,0.43%,0%
CHEM,120A,16,FA,Inorganic Chemistry I,"Rinehart, Jeffrey Dennis",2.741,23.4%,40.1%,26.5%,3.70%,2.46%,2.46%,1.23%,0%
CHEM,127,16,FA,Physical Chem: Thermodynamics,"Yuen Zhou, Joel",2.942,25.7%,39.0%,28.1%,1.56%,0%,5.46%,0%,0%
CHEM,130,16,FA,Chem Physics: Quantum Mech,"Sinha, Amitabha",2.696,27.5%,25%,32.5%,1.25%,6.25%,7.5%,0%,0%
CHEM,140A,16,FA,Organic Chemistry I,"Albizati, Kim F.",2.605,19.7%,33.3%,24.6%,7.40%,6.17%,8.64%,0%,0%
CHEM,140A,16,FA,Organic Chemistry I,"Yang, Jerry",2.64,23.1%,28.1%,33.1%,1.50%,6.03%,8.04%,0%,0%
CHEM,140B,16,FA,Organic Chemistry II,"Hoeger, Carl",2.628,14.5%,37.2%,32.1%,1.45%,4.37%,8.75%,1.45%,0%
CHEM,140B,16,FA,Organic Chemistry II,"Theodorakis, Emmanouil",2.66,27.9%,22.3%,30.0%,11.1%,2.09%,6.29%,0%,0%
CHEM,140A,16,FA,Organic Chemistry I,"Oconnor, Joseph M.",2.762,23.5%,27.5%,27.5%,0.25%,4.01%,16.7%,0.25%,0%
CHEM,140A,16,FA,Organic Chemistry I,"Perrin, Charles L.",2.663,31.4%,16.4%,31.7%,6.51%,5.38%,8.21%,0.28%,0%
CHEM,140A,16,FA,Organic Chemistry I,"Ternansky, Robert J.",2.699,18.7%,28.4%,33.5%,3.04%,1.52%,13.7%,1.01%,0%
CHEM,140C,16,FA,Organic Chemistry III,"Hermann, Thomas",3.012,32.5%,36.3%,12.5%,2.44%,4.19%,11.1%,0.69%,0%
CHEM,143A,16,FA,Organic Chemistry Laboratory,"Cao, Kevin Jay",3.208,31.5%,57.9%,8.58%,0.21%,0.21%,1.50%,0%,0%
CHEM,143C,16,FA,Organic Chemistry Laboratory,"Ternansky, Robert J.",3.202,35.7%,37.5%,17.8%,0%,0%,8.92%,0%,0%
CHEM,152,16,FA,Synthetic Methods/Organic Chem,"Theodorakis, Emmanouil",3.484,51.1%,42.2%,2.22%,0%,0%,4.44%,0%,0%
CHEM,154,16,FA,Mechanisms/Organic Reactions,"Tor, Yitzhak",3.583,60.9%,17.0%,9.75%,0%,0%,9.75%,2.43%,0%
CHEM,172,16,FA,Environmental Chemistry II,"Pomeroy, Robert S.",2.779,15.9%,49.2%,21.7%,0%,4.34%,8.69%,0%,0%
CHIN,10AD,16,FA,First Yr Chinese/Dialect Spk I,"Chen, Pei-Chia",3.678,58.8%,11.7%,1.96%,0%,0%,0%,27.4%,0%
CHIN,10AN,16,FA,First Yr Chinese/Non-Native I,"Cha, Samuel",3.508,45.4%,26.1%,2.27%,0%,1.13%,1.13%,21.5%,0%
CHIN,10AM,16,FA,First Yr Chinese/Mandarin I,"Xu, Li",3.853,70%,5%,0%,0%,0%,0%,25%,0%
CHIN,20AD,16,FA,Second Yr Chinese-Dialect SpkI,"Wang, Xiao",3.775,48.8%,13.3%,0%,0%,0%,0%,37.7%,0%
CHIN,20AM,16,FA,Second Yr Chinese-Mandarin I,"Wang, Xiao",3.85,45.7%,0%,0%,0%,0%,2.85%,51.4%,0%
CHIN,20AN,16,FA,Second Yr Chinese/Non-Native I,"Anderson, Qin-Hong",3.771,55.8%,9.30%,0%,0%,0%,0%,34.8%,0%
CHIN,100AM,16,FA,Third Yr Chinese/Heritage SpkI,"Anderson, Qin-Hong",3.6,30%,25%,0%,0%,0%,0%,45%,0%
CHIN,100AN,16,FA,Third Yr Chinese/Non-Native I,"Xu, Li",3.758,71.4%,14.2%,0%,0%,0%,0%,14.2%,0%
CHIN,165A,16,FA,Business Chinese,"Xu, Li",3.85,72.7%,0%,0%,0%,0%,9.09%,9.09%,0%
CHIN,169A,16,FA,Medical Chinese I,"Wang, Xiao",3.792,62.5%,18.7%,0%,0%,0%,0%,18.7%,0%
COGS,1,16,FA,Introduction to Cognitive Sci,"Voytek, Bradley Thomas",3.33,51.3%,34.9%,6.00%,1.86%,1.24%,0.62%,3.10%,0.82%
COGS,8,16,FA,Hands-On Computing,"Tibbles, Richard",3.711,63.6%,18.1%,0%,0%,0%,0%,18.1%,0%
COGS,9,16,FA,Introduction to Data Science,"Voytek, Bradley Thomas",3.916,95.1%,0%,0.81%,0.40%,0.81%,0.81%,1.63%,0%
COGS,11,16,FA,Minds &amp; Brains,"Boyle, Mary E. T.",3.911,69.4%,6.77%,0%,0%,0%,3.38%,18.6%,1.69%
COGS,14A,16,FA,Intro. to Research Methods,"Rossano, Federico",3.046,30.1%,44.7%,17.0%,2.51%,1.00%,4.02%,0.50%,0%
COGS,14B,16,FA,Intro. to Statistical Analysis,"Walker, Esther Jane",3.127,46.5%,32.7%,9.48%,6.03%,4.31%,0%,0.86%,0%
COGS,15,16,FA,Uncensored Intro. to Language,"Bergen, Benjamin",3.239,35.1%,44.5%,8.10%,2.70%,0%,0%,8.10%,1.35%
COGS,17,16,FA,Neurobiology of Cognition,"Johnson, Christine M.",3.285,46.8%,26.5%,10.4%,0.69%,2.79%,3.49%,7.69%,1.39%
COGS,87,16,FA,Freshman Seminar,"Deak, Gedeon O.",0,0%,0%,0%,0%,0%,0%,93.3%,6.66%
COGS,101A,16,FA,Sensation and Perception,"Barrera, Steven James",3.036,35.9%,33.2%,18.4%,3.64%,1.69%,3.39%,2.91%,0.72%
COGS,107A,16,FA,Neuroanatomy and Physiology,"Boyle, Mary E. T.",3.19,46.0%,27.4%,18.6%,1.30%,1.96%,3.59%,0.65%,0.32%
COGS,109,16,FA,Modeling &amp; Data Analysis,"Olson, Jacob Michael",3.131,37.1%,44.8%,12.1%,0.64%,1.28%,3.20%,0%,0%
COGS,118B,16,FA,Natural Computation II,"De Sa, Virginia",3.868,83.0%,6.77%,0%,0%,0%,6.77%,3.38%,0%
COGS,119,16,FA,Programming/Experimental Res.,"Saygin, Ayse P",3.775,81.2%,18.7%,0%,0%,0%,0%,0%,0%
COGS,120,16,FA,Interaction Design,"Guo, Philip J",3.771,81.6%,15.4%,1.47%,0%,0%,0.73%,0.73%,0%
COGS,154,16,FA,Comm Disorders/Children&amp;Adults,"Yang, Dorothy Daw-Shin",3.062,32.3%,41.1%,13.2%,2.94%,2.94%,1.47%,5.88%,0%
COGS,156,16,FA,Language Development,"Creel, Sarah",3.19,47.8%,21.7%,13.0%,0%,4.34%,4.34%,8.69%,0%
COGS,174,16,FA,"Drugs: Brain, Mind and Culture","Pineda, Jaime A",3.188,38.0%,40.9%,14.2%,0%,0%,2.85%,3.80%,0%
COGS,175,16,FA,Alternate States/Consciousness,"Pineda, Jaime A",3.107,26.0%,45.6%,15.2%,0%,2.17%,8.69%,2.17%,0%
COGS,179,16,FA,Electrophysiology of Cognition,"Coulson, Seana M",3.563,52.6%,26.3%,5.26%,0%,0%,15.7%,0%,0%
COGS,187A,16,FA,Usability &amp; Info. Architecture,"Kirsh, David Joel",3.715,75.9%,20.1%,2.88%,0%,0%,0%,0.96%,0%
